	ERR5327198	ERR5327199	ERR5327266	ERR5327282	ERR5327284	ERR5327285	ERR5327287	ERR5327288	ERR5327289	ERR5327300	ERR5327303	ERR5327305	ERR5327308	ERR5327311	ERR5327313	ERR5327314	ERR5327316	ERR5327317	ERR5327318	ERR5327322	ERR5327323	ERR5327325	ERR5327326	ERR5327327	ERR5327329	ERR5327332	ERR5327335	ERR5327338	ERR5327340	ERR5327343	ERR5327344	ERR5327346	ERR5327348	ERR5327349	ERR5327351	ERR5327352	ERR5327353	ERR5327354	ERR5327355	ERR5327356	ERR5327360	ERR5327362	ERR5327363	ERR5327364	ERR5327367	ERR5327379	ERR5327387	ERR5327388	ERR5327394	ERR5327395	ERR5327396	ERR5327401	ERR5327402	ERR5327404	ERR5327405	ERR5327406	ERR5327407	ERR5327408	ERR5327409	ERR5327410	ERR5327412	ERR5327414	ERR5327415	ERR5327416	ERR5327418	ERR5327419	ERR5327421	ERR5327426	ERR5327427	ERR5327428	ERR5327431	ERR5327432	ERR5327433	ERR5327434	ERR5327435	ERR5327439	ERR5327442	ERR5327443	ERR5327444	ERR5327445	ERR5327447	ERR5327450	ERR5327452	ERR5327456	ERR5327464	ERR5327465	ERR5327470	ERR5327471	ERR5327472	ERR5327475	ERR5327479	ERR5327481	ERR5327482	ERR5327484	ERR5327485	ERR5327487	ERR5327489	ERR5327492	ERR5327493	ERR5327498	ERR5327502	ERR5327503	ERR5327507	ERR5327509	ERR5327511	ERR5327513	ERR5327515	ERR5327516	ERR5327517	ERR5327521	ERR5327523	ERR5327529	ERR5327531	ERR5327533	ERR5327534	ERR5327535	ERR5327539	ERR5327540	ERR5327541	ERR5327544	ERR5327546	ERR5327550	ERR5327554	ERR5327555	ERR5327557	ERR5327561	ERR5327562	ERR5327566	ERR5327567	ERR5327568	ERR5327569	ERR5327573	ERR5327575	ERR5327576	ERR5327581	ERR5327584	ERR5327586	ERR5327587	ERR5327591	ERR5327592	ERR5327596	ERR5327599	ERR5327604	ERR5327605	ERR5327615	ERR5327620
ERR5327198	0.0	0.9980686935219915	0.9942757417102966	0.9998875309289945	0.9962463062055746	0.997209972099721	0.9931861818076829	0.998431973161215	0.9954879754545864	0.9958204334365325	0.9988877798374447	0.9984402694080113	0.998342250018838	0.9945343432604579	0.9943490751952894	0.9931679405610829	0.995221747073822	0.9979907365124927	0.9982006986648801	0.9970432903081096	0.9983494264256829	0.9829387520368063	0.9921573599463875	0.9960288650776296	0.9982219244446735	0.9981758329314574	0.9941706833002552	0.988298918387414	0.9928309752400202	0.9958638547830696	0.9944346841801182	0.9983786403489447	0.9960701487111127	0.9957939011566772	0.9972302504816956	0.991632078145055	0.9977745714215842	0.9943122592340812	0.986269212029942	0.9953820396298272	0.9945898639509906	0.9951864050045798	0.9980009350465106	0.9961128034536246	0.9956297799282036	1.0	0.9983692301573096	0.9961328131654713	0.9964593936711662	0.9978787840065425	0.9938619617386601	0.9978819506468982	0.9969273458381996	0.9929029424681599	0.9601404910743055	0.993955290452288	0.9971649971649972	0.9983904392089009	0.9956587012440594	0.9968914420138415	0.9609780606263607	0.9980732177263969	0.9981238453512525	0.9986905236882219	0.9913617349019134	0.9953268623071302	0.9955765460357933	0.9984680199157411	0.9982973062853342	0.9938670196957826	0.9942001437779484	0.9908043020433098	0.9949890606253088	0.9914394904458599	0.9987234229871902	0.9985689421775286	0.9989655942543463	0.9986645424300642	0.9976214746856948	0.991823087363856	0.99560694760269	0.9955652369277056	0.995613153228902	0.9976104849026092	0.9984069757692631	0.9974258857556038	0.9976317931766041	0.9982745943826283	0.998029655692385	0.9933555789720173	0.9986881644980704	0.9977041769741408	0.9973319603070586	0.9987473134786613	0.9982829100771715	0.9982892274792836	0.9948385043031412	0.998867770590341	0.9978625226565377	0.9984074460743546	0.998478989902692	0.9986566877758588	0.9983447292359016	0.9958055986140238	0.9951845744519419	0.9929478347185801	0.9979447482316584	0.9985234647890427	0.9948984149355354	0.9974868890653497	0.999186261855323	0.9442183189007567	0.9901465826398802	0.9906454248366013	0.9975977899667694	0.999729020238801	0.9937430766047061	0.9981982309904269	0.9959573183007852	0.9968401796108431	0.9947475157168931	0.9892764536118721	0.9959757190443178	0.9966849894291755	0.9989313702208501	0.9950673620165146	0.9984037075180227	0.9984094523971825	0.9959303680596641	0.99386541006518	0.9961058455204357	0.9974704468042477	0.9958484691229891	0.9975630944188093	0.9978727930227611	0.9981276418689539	0.9949213677679989	0.995896362382768	0.9932237169905331	0.9987513007284079	0.9945573159366263	0.9984588829983972	0.9985758544873076	0.9951754303628753	0.9978312977970552	0.9983814533596744
ERR5327199	0.9980686935219915	0.0	0.9984711149939937	0.9998140027327291	0.9966816952209198	0.9986063174808778	0.9845255075125535	0.9987673602599749	0.9985129181549067	0.9991927739349488	0.9992443398145726	0.9989076509944927	0.9990559234249	0.9986670369341849	0.9984998934583422	0.9983744242752641	0.9986737900217769	0.9985055041189764	0.9987207071000755	0.9984752959831673	0.9988925377037077	0.9984951248314853	0.998829374342394	0.9988468008899983	0.9986630895278358	0.9984900021015435	0.9985981231342668	0.997614238657467	0.9985065184247918	0.9983397897066962	0.9986259775067429	0.9990175745006004	0.9990310664325077	0.9986188978531383	0.9986125145158128	0.9964762252637459	0.9985549258746615	0.9981376338060667	0.9986385627112051	0.9984061722039254	0.9985463435584849	0.9985705549046914	0.9986122792262405	0.9976905311778291	0.9987606506584044	1.0	0.9987729785944619	0.999043119430656	0.9989643113889194	0.9981858677299996	0.9984120460319833	0.9984928004306285	0.9987427490228297	0.9990200148358865	0.998486743240261	0.9986691066378306	0.9984882606425671	0.9987169520819339	0.9989540052880844	0.9985192343662324	0.9995646326199009	0.9983759760456467	0.9989531840651352	0.9989452766738001	0.9971804889837677	0.9986947374886749	0.998536192637049	0.9991053819409146	0.998596050468291	0.9986556755697041	0.9984717181014571	0.9883308497911726	0.9981062082948077	0.9984765796524809	0.9988544599424003	0.998666774106116	0.9990352391591347	0.9990376092186907	0.9984182038375033	0.9979252446393241	0.9989445600867806	0.998936986948562	0.9986386824691774	0.9982579148448079	0.9986148614472363	0.9978482213593373	0.9989140411888663	0.9987712441523066	0.9987327067272151	0.9965884104556345	0.9986416349039008	0.998817617499261	0.9985153567783243	0.9991267595794474	0.9984659635666348	0.9986099737821788	0.9985956216439488	0.9989426139627173	0.9988692793695941	0.998179541052718	0.980721231253823	0.9989524929808443	0.9989608341993048	0.9977573039156261	0.9946490829164771	0.998349703741997	0.9987981347050623	0.9987080520655017	0.9984907803114073	0.9988624822262848	0.9994442687822779	0.99847915291687	0.9981222316724289	0.9975381165372756	0.9983707022643535	0.9995441521229487	0.9982471364109684	0.9984193925151941	0.9985629443109127	0.9983518628287239	0.9987244801117598	0.9981253453311232	0.9988373091634571	0.9978962436019779	0.9991389928608158	0.9986414237878704	0.9918931850394056	0.9990221528933797	0.9988247412702473	0.9983676191813522	0.9988642133675405	0.9987250657387978	0.9981473044798785	0.997321898002103	0.9988858322660679	0.05786516853932584	0.9987158533738034	0.9986837989991659	0.9981032747541999	0.9990390373661268	0.9976712281389424	0.9986812142030164	0.9989923898920796	0.9985676327983442	0.9987415326334714	0.9988387680695373
ERR5327266	0.9942757417102966	0.9984711149939937	0.0	0.9999371849432309	0.9973426059423854	0.9976631675034231	0.44093936597244615	0.9987418874756433	0.1897898491751409	0.9988893002591632	0.9990748083531589	0.9986431819894972	0.9985867338562894	0.06237346619016601	0.9921064673581452	0.9514952870137156	0.9877951446624543	0.9984995940682582	0.998465804214244	0.99754092838375	0.9985884113675403	0.5998318520297862	0.9986573494858259	0.21119811537407307	0.9982294401367605	0.9985178546808218	0.8341556639745674	0.9895340875745818	0.9877366353137278	0.9960366864341228	0.18352564163340382	0.9982407359091147	0.21815431609246042	0.20422024792462135	0.9982924384721037	0.9046780652920536	0.9979110538440514	0.02201575439305191	0.04028115706947824	0.17658153484632985	0.9844263426756868	0.13597430406852248	0.9980892721094194	0.9972226341831714	0.17812024911059493	0.9999131431747906	0.9985811858646517	0.2282775604809503	0.935641639147601	0.9984027335496719	0.5340441945744872	0.9981824790985097	0.9978278320819757	0.20841263233020102	0.32162456182763205	0.11543401309400746	0.997618636755824	0.9983009627877536	0.14968979311556305	0.9972731116729805	0.9996041239952494	0.9983266932270917	0.998082010053464	0.9989190193478646	0.3025702413701815	0.9581200716389533	0.9971014726129419	0.9988829025914333	0.9986852676941056	0.1333854342683339	0.13007504891320218	0.98677366801424	0.9963278078047014	0.9592787559750711	0.9989599210974626	0.9988233587466353	0.999054239372015	0.998924792032143	0.9980909024157427	0.32729784399822387	0.14135492351238235	0.9300524241069614	0.18125768757687577	0.9980874000231831	0.998690535674288	0.997817663563889	0.9980319526544038	0.9985652212901596	0.9983851769230129	0.20397797505337678	0.999002540043378	0.998346361996392	0.9979268361635161	0.999020443347341	0.9985872151086789	0.9985251181410468	0.8939431601623995	0.9989487068383779	0.9982028741446373	0.998548860032314	0.9986594761171033	0.998865799034968	0.9983064345406708	0.9975729514776992	0.10886863970680523	0.8190768951553443	0.9982335253508595	0.998725485796347	0.4666392126178808	0.9979742867493216	0.9988905566795014	0.9983586233389792	0.9216173307385025	0.9940536037459424	0.9981170169363865	0.9998243567064373	0.7142134596492593	0.9985599828423488	0.9947665306516981	0.997990835389496	0.8473700977515467	0.20767405508136252	0.4856632888070014	0.9975434594608145	0.999353878135798	0.0551543007222587	0.9985763966565658	0.9987478563845714	0.19463016185145968	0.05651381569226223	0.2241287605557863	0.9975327801985714	0.9980157615918833	0.9979688743721351	0.9981569898325211	0.9983703949814494	0.7445015927527743	0.9962706408683877	0.2555468775781843	0.9988870000076233	0.9971740768651093	0.9987287489194365	0.9988680369377421	0.16273584905660377	0.9981439615953557	0.9986244841815681
ERR5327282	0.9998875309289945	0.9998140027327291	0.9999371849432309	0.0	0.9963056879289992	0.9987259777736845	0.9995301728421833	0.997577763070814	0.9995532869540082	0.9990020955992416	1.0	0.8805077670664964	1.0	1.0	1.0	0.9902386602785116	0.9998581821791727	1.0	1.0	0.9998852964370206	1.0	0.9998461627213815	0.9998946189817559	0.9996789376689591	1.0	0.9996929689898679	0.9596706358087095	0.9996589026410682	1.0	1.0	0.999873236200572	0.9998967028852176	1.0	0.9992366264062571	1.0	0.9987376601347153	1.0	0.9986735354906376	0.9998937107109235	0.9997202126383948	0.9998763437951635	0.9995556604690559	1.0	0.9999157158359409	0.9998935653608467	1.0	0.9999295645681604	0.999899248139239	0.999663688180959	0.999565453557849	0.99967063351044	0.9997996360054098	0.9995975974198893	1.0	1.0	0.9998970089688023	0.9995023637720826	0.9998863749343105	1.0	0.9998975327346318	0.9619114382521322	0.999535030017915	0.9999177389170328	0.9998850219536207	0.9998885017421603	0.9995092343333887	0.9987443686312928	0.9997375401891585	0.9997255174425088	0.999861392657276	0.9998704233108464	0.994151200162145	0.9994698421760939	0.9988157587483738	0.9976261755722883	0.9996961913442152	0.9994623698421107	1.0	0.9998149547410138	1.0	1.0	0.9999304497812646	0.9990717780753982	0.9993079584775086	0.9997368882652167	0.9985166157130194	0.9999018519313699	0.9998884341029056	1.0	0.9987606619523219	0.9991212078717338	0.999830933895153	0.9992748139740194	1.0	0.9995274726038345	0.9996615420664159	0.9997371818160736	0.9997275963473147	0.9995552813123648	0.9998963958713755	0.9994686009591752	0.9990864213360687	0.9969986243695027	1.0	0.9993012826454295	0.9998714475919379	0.9999084275289741	0.9994854760481534	0.9994372577570501	0.9998205208740634	0.9999290050051471	0.9998205473306415	0.9991906929691452	0.9988048866855525	0.9998624708825071	0.9995022547858202	0.9986403036655147	0.999762062128222	0.9995893298225059	1.0	0.9998000399920016	0.9988328515806655	0.9998998058738806	0.999343499149533	0.9983685011964325	0.9991607217792698	0.9993282278651081	0.9988537465506262	0.9995685315691069	0.9996891895207793	0.9995696011848626	0.9998845494128513	0.9995685412649831	0.9992771732861702	0.9997149716616056	0.9995379084922905	0.9999174537224932	0.9996785937239244	0.9986744646359704	0.9992496198732252	0.9982536977424309	0.999971169093268	1.0	0.9994592621632217	0.9995855225463545	0.999266546550377
ERR5327284	0.9962463062055746	0.9966816952209198	0.9973426059423854	0.9963056879289992	0.0	0.9971228489224255	0.9949692048754324	0.9979468292269917	0.9976362552425976	0.9668025131601291	0.9985799075119252	0.9980606002561924	0.998330695064038	0.9977874967841524	0.9666521802115022	0.9969847238115997	0.9813774966237828	0.9627935743233346	0.9979166900012321	0.9974178913583822	0.9981157930798219	0.996413048065156	0.9981516099897079	0.9980024414604373	0.9636264581463915	0.9974059015739193	0.997423634046402	0.9094049301303188	0.996924611420497	0.9960352025951401	0.9974140531843062	0.9983516651234725	0.9985247503040211	0.9975501454601133	0.9948922940262047	0.9852189251345257	0.9974466039832978	0.9944152431011827	0.9975234341712825	0.9974332099848131	0.9965924236386869	0.9976207361991261	0.9954297917778965	0.9881477613888526	0.9977805047217628	1.0	0.9980084815257374	0.9984147797326653	0.998239056686837	0.9965108718062582	0.9968346352172359	0.9972771885388634	0.9978286599094088	0.9984996857449872	0.9954335950836463	0.9973290152413068	0.9971262213559238	0.9975297498871761	0.998344018887136	0.9974755364485047	0.9726883433749938	0.9970323761072807	0.9983420153475606	0.9981101217517717	0.9867484758786976	0.9974129620364381	0.9939774721231674	0.9979628926923768	0.9974654416301212	0.9972459283941383	0.9969192576308193	0.9912764101363859	0.9952256944444444	0.9968718402426694	0.9825280186085853	0.9737462591820077	0.9976813751449141	0.998375142531357	0.99740032290726	0.9842070338420703	0.9983208722387992	0.9981874290171965	0.9977922601736472	0.9964823080788673	0.997656211040742	0.9943647351054758	0.9983083819673517	0.9978802087533554	0.9980301645880552	0.995444620134026	0.9969415923579529	0.9980447444789758	0.961111427432671	0.9985805107141239	0.9971819691849476	0.9973615319605055	0.9974984537145214	0.9983033561141136	0.9981342829562693	0.997526118868966	0.9971043498626695	0.9668778970838467	0.8998942099695262	0.9862123523761089	0.9970111781935561	0.9965578566921003	0.9982051086671239	0.9973791843704086	0.9819752422588224	0.9975250264097791	0.9989656156370381	0.908797832079615	0.9945546664141295	0.9892759805664179	0.968724362516115	0.9984945598868639	0.9954888341175592	0.975118283203785	0.9975039230620991	0.9945386605346364	0.9978421405965282	0.9962681644269371	0.998040318981742	0.9946267161494502	0.9972826086956522	0.9972408766723931	0.9960945002881106	0.9975005318017444	0.9977997799779978	0.9971972154945239	0.9979088783894418	0.9974942770525274	0.9922529193961834	0.9968678931815397	0.9982833436650613	0.9969738803909658	0.9978368878223544	0.9975089610846478	0.9959303064987918	0.9984052208034749	0.9918847214274567	0.9978570037015391	0.9980877182160262	0.9973503843037642	0.997785016286645	0.997820464386388
ERR5327285	0.997209972099721	0.9986063174808778	0.9976631675034231	0.9987259777736845	0.9971228489224255	0.0	0.996662036588386	0.9981844371755244	0.9978573819886173	0.9974983964079538	0.9991678224687933	0.9985449789512404	0.998531868930851	0.9977862438220758	0.9977001687779364	0.9973576824317846	0.997841224496421	0.9986832260960646	0.9987039856345395	0.9978632829835145	0.9986725957390323	0.9969140815332143	0.9987912432287236	0.997810404205184	0.998853890842983	0.9983527473820449	0.9955088347125922	0.9957062850031114	0.9971470642370698	0.9982117490968612	0.9975094778205164	0.998497282707809	0.9982174431810014	0.9973239549898003	0.99852154322726	0.9961479106602386	0.9984817141447306	0.9974611121044162	0.9976998981634302	0.9978081114991005	0.9976161243200129	0.9976708443585315	0.9991124502213036	0.9978212660000778	0.997992740663603	1.0	0.998888584636696	0.9980850792209819	0.9980084189562305	0.9977615676880333	0.9970686209193871	0.9981367799635201	0.9977642101642445	0.998195707530011	0.9971051034225148	0.9955828867253589	0.9965667547417493	0.9987317691819911	0.9980651754995046	0.9977950025668864	0.9999160623153371	0.9977888163939022	0.9984695749947294	0.9989781539196861	0.9972388300655778	0.9973664814370067	0.9979078016973548	0.998829817158931	0.9986433814224247	0.9972753160018848	0.997444899735973	0.9962472174632588	0.9951915890178883	0.9965915768854064	0.998672117971835	0.9988663202645253	0.9977547320861667	0.9989537829007745	0.9981410313700956	0.9970481110291142	0.997747055811572	0.9979519420828272	0.9969477815032552	0.9974263117356428	0.9985044027693756	0.9952560646900269	0.9981681828511614	0.9986306277616337	0.9986187284176316	0.9954529631885823	0.9971062283387732	0.9984409242671609	0.9972674589201878	0.9992763627707688	0.9982394785049842	0.9983214312007657	0.9974721896037074	0.9987336223272125	0.9980133390095076	0.9988874738336774	0.9974837650107731	0.9977565061322166	0.9980418457561903	0.9981593246137237	0.9971580004736665	0.9971239448060858	0.9984450378225431	0.997568931291702	0.9966707678946226	0.9981186549830318	0.9993465154517476	0.9986712508512299	0.9958786801905185	0.9944321940463065	0.9982137601364037	0.9993950027224877	0.9956879024860755	0.9986066580768885	0.9972661140246997	0.9980897483159623	0.997823596792669	0.995536734849392	0.9979983366459452	0.9957932910244787	0.995737333405277	0.9966101694915255	0.9971169036334913	0.9969900015704339	0.9976619955903461	0.995576958057691	0.9972179619788137	0.9977961645530468	0.9978707925974556	0.997059793116352	0.9980805442507441	0.9972632181153314	0.9980558930741191	0.9977913752509011	0.9954179764505301	0.9978525891958394	0.9939935275080907	0.9987265570733966	0.9989966038900895	0.9968956031289862	0.9978393753333242	0.9977143069518518
ERR5327287	0.9931861818076829	0.9845255075125535	0.44093936597244615	0.9995301728421833	0.9949692048754324	0.996662036588386	0.0	0.998522102485155	0.5617345249917246	0.998128348501509	0.9989475530608665	0.9985007496251874	0.9983957479217643	0.4814241645774655	0.9905687112461317	0.9409213362068966	0.9862935685948977	0.9981396041077542	0.998303647158609	0.9974526037329153	0.9984145701007738	0.4999173938510987	0.9987413137537695	0.5747202217939615	0.9983577425087321	0.9980879348690236	0.8043360315979079	0.98558090589526	0.9852624385315921	0.9953471184049183	0.43381309547942426	0.9984336159634964	0.5794124291894335	0.5703871892925431	0.9975268152369687	0.8784818832650765	0.9979245613012301	0.45450603297811215	0.4667359557115737	0.5534967920560125	0.7873344496879281	0.5282574641915786	0.9985760164818518	0.9969039170667223	0.5546403075233388	1.0	0.9986417851916326	0.5858989462930771	0.9274404964675563	0.9972762645914397	0.43385333812285115	0.9976929708464368	0.9971115840681058	0.5734301935790483	0.23901227839094033	0.3644708559868504	0.9969159754487458	0.998491135420596	0.5369933677229182	0.9970565702995847	0.9998191300153739	0.9970777699157332	0.9981927488658577	0.9987811111547988	0.28225071225071224	0.950778175489944	0.9969122598165957	0.9987293886626816	0.9983071831021502	0.3556640900408927	0.4156924721686383	0.96978212915118	0.9942959824593218	0.9504625195494829	0.9983974865842216	0.9985847695129558	0.9983156665468919	0.9987240757943747	0.9977458194704844	0.21918722921875242	0.5316785927251043	0.9191582985445109	0.556388391636758	0.9972594852898843	0.9981086328836306	0.9960072744178414	0.9980253833781868	0.9983771747745028	0.9983568211254809	0.30207022444717957	0.9978717285015818	0.9981437079433831	0.9974954997260703	0.9991101536155864	0.9980466182077722	0.9980725047972258	0.8743338191468535	0.9986784850926672	0.9978240116801438	0.9979488757275081	0.9856436912686416	0.9987637221122037	0.9985942801745031	0.9966923327187941	0.5058736580052902	0.7772803581421377	0.9982228696285507	0.9979310927208241	0.5193247784906814	0.9979592180938085	0.9992293280537876	0.9977334318797734	0.9003663003663004	0.9913491868613414	0.9976176597308463	0.9989528463540014	0.6588724283657642	0.9982085620197585	0.993929368435837	0.9971543396320611	0.8228706762960147	0.3035823044128232	0.5887457571668098	0.9959751537047601	0.9980188938824177	0.4760213698801329	0.9885627517970195	0.9985209965665992	0.564535532841156	0.40730350322976094	0.5825923959923031	0.9975906201171293	0.9966795492896413	0.9972792053552149	0.9976829663547406	0.9849086866183064	0.704987586615778	0.9952397800006433	0.3219270356199817	0.9987947387727296	0.9954886957125259	0.9982431031930119	0.9986433578084278	0.5444847585526732	0.9974888855547747	0.9986365030849118
ERR5327288	0.998431973161215	0.9987673602599749	0.9987418874756433	0.997577763070814	0.9979468292269917	0.9981844371755244	0.998522102485155	0.0	0.9989047732558514	0.9994468760521379	0.9993189795169993	0.998952067570683	0.9990844894197494	0.998907883624079	0.9984763444705297	0.9986917958154908	0.9986390968046548	0.9985295211030244	0.9987373143751386	0.9987086450598656	0.9989387293052214	0.9955888674978037	0.9990699236562335	0.9990549931014496	0.9986723052714398	0.9989412690464268	0.9966057972982146	0.997437826148277	0.998607656035347	0.9987710597101959	0.9988391440622219	0.9990499654820791	0.999062089664228	0.9984515113629873	0.9988147384694667	0.9981225154461421	0.9986369327817666	0.99852258336851	0.9987083556030644	0.998811312128535	0.9985194920951453	0.9988437733795824	0.9988537389719354	0.9979982229121771	0.9987216529809617	1.0	0.9990204869973098	0.9990729410019654	0.9991450799350261	0.9986140664106766	0.9987327763181238	0.9987782827542394	0.9989417435646961	0.9990521566595473	0.9985911789014952	0.9987448854080377	0.9989258246086421	0.9987205340379668	0.9989931602016364	0.9989256938227394	0.9977133057024439	0.9989949210007907	0.9989118241722811	0.9990010763051079	0.9982281845219262	0.9989403412101303	0.9986751654353366	0.9991976586219787	0.9991470074176904	0.9987334290298067	0.9985293536271991	0.9981614715731613	0.9985160269093787	0.9987795352470221	0.9991424685078952	0.999012338997727	0.9993203426091121	0.9991215091547994	0.9988695796343466	0.9981300921597436	0.9989847647022991	0.9989780415187666	0.998426753000221	0.9983656278974746	0.9989128879988557	0.9977631787519594	0.9990964671867	0.9988252088327904	0.9989574573078768	0.9978533158286911	0.9990360218622967	0.9988646655866107	0.9977822270137071	0.9993960056902622	0.9989244603581956	0.9987486752556917	0.9988667527934544	0.9991733578084256	0.999179812450447	0.9990217874610938	0.9989449140951662	0.9982156832055095	0.9985684189977306	0.9980596339175991	0.9981571066574522	0.9986595294054567	0.9989759229353875	0.9990085604149249	0.9986497378700304	0.9990566215731779	0.9994986168741355	0.9985187196800435	0.9985271881075349	0.9976007883124116	0.9940503624251058	0.9998453344159924	0.9977400772798748	0.998729714315342	0.9988610681045682	0.9985835342064064	0.9989512249692359	0.9976745218124529	0.9988321060201861	0.9983193114972616	0.9985463891463723	0.9985635132361995	0.9988860129091445	0.9981895984200132	0.9990382272604865	0.9983553813359732	0.9990682593220654	0.9987928536938677	0.998678122934567	0.9986770995407431	0.9991910868557007	0.9990010189606602	0.9986924492313084	0.998883393512759	0.9976624305488927	0.9968370567845132	0.9967976829094173	0.9989134729355986	0.9990839841866744	0.998807488969273	0.9989464736797998	0.9984583041345481
ERR5327289	0.9954879754545864	0.9985129181549067	0.1897898491751409	0.9995532869540082	0.9976362552425976	0.9978573819886173	0.5617345249917246	0.9989047732558514	0.0	0.9992881464520033	0.9993255920523617	0.9986690881867712	0.9985572784695028	0.1329881346996844	0.993033345920577	0.8067435915152352	0.9896379482586379	0.9984775562321972	0.90622083566648	0.9978413609174912	0.9988769013708823	0.6919676300578035	0.8838338174659665	0.13627605535119985	0.9988955570534112	0.8712680874014462	0.8650431556745598	0.9898616121660654	0.9908869597170548	0.9919307639623933	0.3395479445748746	0.9987799662918522	0.14311437849651978	0.13019861874275343	0.9988316421777174	0.9153698894975265	0.9981933720318281	0.17217666888412178	0.1600839253506092	0.10489972962984576	0.9857838364167478	0.15660162129690253	0.9981776934806055	0.9441213296175128	0.10657446615645598	0.9997571376529497	0.9988089778428809	0.1531931870492558	0.9437529024000725	0.998432753829251	0.630268135105279	0.9981921049870461	0.9979203253535447	0.13440458786399542	0.47876760072494073	0.29780990433874366	0.9976840834014137	0.9969779139326448	0.08093055481532804	0.9977548526444425	0.9995463020069048	0.998390582914907	0.9986932984879596	0.9990507831039392	0.45770690148911797	0.9651943537195643	0.9972763742234984	0.9991155394306962	0.9651041407764577	0.31360986340786096	0.2992836878320977	0.9884154831523253	0.9969276831404166	0.9665395438090093	0.9989295795300415	0.9987512336602953	0.9990199081163859	0.9991290463057048	0.9981018854106728	0.48561935416882984	0.07332473534311355	0.9417985125084517	0.10927103165639421	0.9981618362943866	0.9987086978423901	0.9976630012993015	0.9982888391628475	0.9985494672342271	0.9985241582874719	0.3775591761450968	0.9989557452018293	0.9985560938538995	0.9982745852515212	0.9991807927405634	0.9985543080269682	0.9985420615250037	0.9134740721873454	0.9989495544662046	0.9980761706012782	0.9987259780641173	0.9986680890957876	0.9990690674383064	0.9987425844725303	0.9982659254347936	0.08905912340001108	0.8588618346545867	0.9983001945829886	0.9987232169063692	0.5571369975389664	0.9982388868765847	0.9995034374117103	0.9987824774149561	0.9407782924957997	0.9904113793431901	0.9984392900430026	0.9991010978082087	0.7700272564929979	0.9985072610169927	0.9952033564719331	0.9986030267753201	0.8736428784504707	0.38028614616655537	0.5636869769060308	0.9977640178878568	0.9992088195796334	0.14124753756351452	0.9986689067991267	0.9990441228810543	0.12152019607219021	0.24211109352745688	0.14876135017765496	0.9983091806704258	0.998620442991084	0.997942816254733	0.9980381331174922	0.9984267167296861	0.7869584994514757	0.9966125804662825	0.4151262826935701	0.9990515374065957	0.9975800840920778	0.9989500136498225	0.999092175990444	0.09238812349981916	0.9978356651464791	0.998873048096146
ERR5327300	0.9958204334365325	0.9991927739349488	0.9988893002591632	0.9990020955992416	0.9668025131601291	0.9974983964079538	0.998128348501509	0.9994468760521379	0.9992881464520033	0.0	1.0	0.999806112980736	0.9992681167999483	0.9997289809684413	0.9568502408761654	0.9999085275217818	0.9887262279381585	0.9856735239539478	0.9995125517913722	0.9992173742907454	1.0	0.99478791239257	0.9991656137506854	0.99943050445915	0.9845744264348916	0.9979377850068256	0.9974694632342206	0.9395138496325608	0.9990760869565217	0.996838123200271	0.9983871797951375	0.9990110054394701	1.0	0.9989381470666313	0.9988038277511961	0.9428024982816843	0.9985159445470011	0.9975053456878118	0.9986516149263092	0.9986857796490545	0.9952485558538768	0.9986070593182476	0.9938029914650292	0.9884363070308736	0.9985435302399533	0.9739189308527862	0.9995407763580864	0.9989655551887312	0.9993685600298499	0.9978735332212105	0.9986086809874148	0.9989970296647764	0.9885204207859554	1.0	0.998030388294879	0.9993412791535438	0.9965361664968709	0.9979966519388567	1.0	0.9997961946632117	0.9820890331555762	0.998927340058741	0.9987939595334933	0.9813257325788742	0.9828163974904885	0.9980742817495717	0.995117580605368	0.9976256226288487	0.9993421999301088	0.9991578592782854	0.9989197558648254	0.9681569726699369	0.9926363274512405	0.9975371353805895	0.9992539633198633	0.9900899963585289	0.9680245964642583	0.9723638588619212	0.9996114115475535	0.9804048869739715	1.0	0.9991825433449799	0.9990107371214864	0.9974793197713636	0.99933224944838	0.9941814086621933	0.9993058696086577	0.9994170409528731	1.0	0.9990909090909091	0.994311921904225	0.9990448456610367	0.98740836274776	1.0	0.9983677982388016	0.9986698093393387	0.9994465335091404	0.999508489245531	0.9985529641903299	0.9995606834840112	0.9969737319937053	0.9849071207430341	0.998500259570459	0.977404675976777	0.9992256744237497	0.9996582782103541	0.9991010310050661	0.9960140132347217	0.9532771977096666	0.9995458209853414	0.9984356842763923	0.9281674769322353	0.9668111535226758	0.8062589158345221	0.9839266161188356	0.9979702924624043	0.9475378004710451	0.9909553284391344	0.9951867440884	1.0	0.9885146756921711	0.9988019073634773	0.9993024827255488	0.9917783845139123	0.9907515414097651	0.9981072169984125	0.9953081013450109	0.998858621214427	0.9991297189227332	0.9991532443626323	0.9976015190379426	0.999024902490249	0.9887658481784626	0.9972950780080182	0.9989694503152783	0.9968947627523005	0.9989410746800625	0.9988918841166505	0.9961113525630761	0.9997856811173158	0.9896762775606519	1.0	0.999813153961136	0.9961004874390701	0.9985435782202526	0.9997565132700268
